# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  3.434422e-01              0   5.176539e+01   3.700836e+01  -5.267500e+00   0.000000e+00   1.049509e+03  -1.668719e+02   0.000000e+00   1.668719e+02   0.000000e+00   2.361890e+01   3.308611e+02   0.000000e+00   5.947154e-02   0.000000e+00   0.000000e+00              1
  3.497424e-01              0   5.237354e+01   3.772659e+01  -5.177131e+00   0.000000e+00   1.053475e+03  -1.679891e+02   0.000000e+00   1.679891e+02   0.000000e+00   2.499363e+01   3.373584e+02   0.000000e+00   5.958109e-02   0.000000e+00   0.000000e+00              1
  3.560426e-01              0   5.297344e+01   3.844580e+01  -5.086471e+00   0.000000e+00   1.057512e+03  -1.690993e+02   0.000000e+00   1.690993e+02   0.000000e+00   2.641826e+01   3.438822e+02   0.000000e+00   5.969483e-02   0.000000e+00   0.000000e+00              1
  3.623429e-01              0   5.356522e+01   3.916597e+01  -4.995605e+00   0.000000e+00   1.061619e+03  -1.702028e+02   0.000000e+00   1.702028e+02   0.000000e+00   2.789332e+01   3.504331e+02   0.000000e+00   5.981282e-02   0.000000e+00   0.000000e+00              1
  3.686431e-01              0   5.414900e+01   3.988710e+01  -4.904606e+00   0.000000e+00   1.065794e+03  -1.713002e+02   0.000000e+00   1.713002e+02   0.000000e+00   2.941934e+01   3.570114e+02   0.000000e+00   5.993506e-02   0.000000e+00   0.000000e+00              1
  3.749433e-01              0   5.472490e+01   4.060917e+01  -4.813544e+00   0.000000e+00   1.070037e+03  -1.723916e+02   0.000000e+00   1.723916e+02   0.000000e+00   3.099688e+01   3.636178e+02   0.000000e+00   6.006153e-02   0.000000e+00   0.000000e+00              1
  3.812436e-01              0   5.529305e+01   4.133220e+01  -4.722479e+00   0.000000e+00   1.074347e+03  -1.734774e+02   0.000000e+00   1.734774e+02   0.000000e+00   3.262647e+01   3.702526e+02   0.000000e+00   6.019219e-02   0.000000e+00   0.000000e+00              1
  3.875438e-01              0   5.585356e+01   4.205621e+01  -4.631469e+00   0.000000e+00   1.078723e+03  -1.745579e+02   0.000000e+00   1.745579e+02   0.000000e+00   3.430869e+01   3.769165e+02   0.000000e+00   6.032695e-02   0.000000e+00   0.000000e+00              1
  3.938440e-01              0   5.644106e+01   4.277537e+01  -4.547694e+00   0.000000e+00   1.082605e+03  -1.749799e+02   0.000000e+00   1.749799e+02   0.000000e+00   3.582435e+01   3.835906e+02   0.000000e+00   5.979356e-02   0.000000e+00   0.000000e+00              1
  4.001443e-01              0   5.707916e+01   4.348612e+01  -4.475056e+00   0.000000e+00   1.085615e+03  -1.743096e+02   0.000000e+00   1.743096e+02   0.000000e+00   3.701920e+01   3.902563e+02   0.000000e+00   5.817835e-02   0.000000e+00   0.000000e+00              1
  4.064445e-01              0   5.772049e+01   4.419680e+01  -4.403189e+00   0.000000e+00   1.088526e+03  -1.734525e+02   0.000000e+00   1.734525e+02   0.000000e+00   3.819319e+01   3.969373e+02   0.000000e+00   5.643577e-02   0.000000e+00   0.000000e+00              1
  4.127447e-01              0   5.836040e+01   4.490829e+01  -4.331099e+00   0.000000e+00   1.091415e+03  -1.724985e+02   0.000000e+00   1.724985e+02   0.000000e+00   3.937657e+01   4.036364e+02   0.000000e+00   5.466239e-02   0.000000e+00   0.000000e+00              1
  4.190450e-01              0   5.899725e+01   4.562094e+01  -4.258488e+00   0.000000e+00   1.094310e+03  -1.714801e+02   0.000000e+00   1.714801e+02   0.000000e+00   4.058078e+01   4.103545e+02   0.000000e+00   5.289249e-02   0.000000e+00   0.000000e+00              1
  4.253452e-01              0   5.963020e+01   4.633494e+01  -4.185252e+00   0.000000e+00   1.097227e+03  -1.704136e+02   0.000000e+00   1.704136e+02   0.000000e+00   4.181220e+01   4.170925e+02   0.000000e+00   5.114288e-02   0.000000e+00   0.000000e+00              1
  4.316455e-01              0   6.025875e+01   4.705044e+01  -4.111370e+00   0.000000e+00   1.100174e+03  -1.693093e+02   0.000000e+00   1.693093e+02   0.000000e+00   4.307512e+01   4.238513e+02   0.000000e+00   4.942299e-02   0.000000e+00   0.000000e+00              1
