M_max_Msun,R_max_km,sigma_crit_star
2.040221313579944,11.212375536067535,102.76330005539211
2.1959163054887907,12.26995740553362,102.78851076947694
2.000170596509524,11.109364335495732,102.83963327971252
2.582931723953303,14.276493938569203,103.0122127019286
2.2339226053130075,12.510757617576795,103.40433050729264
2.010367631413912,11.018231328745818,103.41696323616246
2.159644241943508,12.039769561973184,103.4664303492227
2.0928909141847827,11.643133964759759,103.59817009365395
2.3060127560464125,12.703776038017091,103.78611945490046
2.0012033406587646,11.483327537295812,103.84893810566984
2.007971541758146,11.514485898442668,103.84893810566984
2.0162710357421294,11.552365315035345,103.84893810566984
2.026035709142551,11.596669201139413,103.84893810566984
2.037313321948042,11.647768012237428,103.84893810566984
2.0500873685058862,11.711796165378894,103.84893810566984
2.0644278700278114,11.780622403042575,103.84893810566984
2.080710113020988,11.855776485217493,103.84893810566984
2.098517703772295,11.936671905529296,103.84893810566984
2.1178204289833573,12.0238467716465,103.84893810566984
2.1385863124614404,12.116751584256528,103.84893810566984
2.1608475408879726,12.217773605498449,103.84893810566984
2.185423306132143,12.331444867694646,103.84893810566984
2.2114678087131963,12.449057233881627,103.84893810566984
2.2389044578557833,12.570342222362415,103.89926124924419
2.45867107065338,13.564883813626786,103.91909704710991
2.167392785331779,11.92460203840004,104.02087039511342
2.2297006258325847,12.454585338019763,104.39282871049718
2.029209539384511,11.264247597188708,104.54152051066067
2.1921092715598376,12.214293363678895,105.03955843755193
2.2678838794742164,12.697690712528132,105.05750328957895
2.1242855005099037,11.813621886293753,105.19629222449134
2.499183459048953,13.778350734087967,105.20061540811896
2.3431261725164454,12.90117153547818,105.23876897216522
2.0710099129583797,11.374159819079315,105.51178374708152
2.200681887421726,12.103361347530765,105.62797064470408
2.016270860523,11.58237448009608,105.64082057874951
2.017026123677935,11.585989173502673,105.64082057874951
2.0193436516638856,11.597013712546476,105.64082057874951
2.023155332015411,11.614798038897694,105.64082057874951
2.028516343641657,11.640045363885017,105.64082057874951
2.0354112062356657,11.673308730697476,105.64082057874951
2.043806644088563,11.714009589188057,105.64082057874951
2.053771324765714,11.761885336608332,105.64082057874951
2.0655372077137555,11.81654418897395,105.64082057874951
2.0789666179432023,11.87815568633672,105.64082057874951
2.093972873341909,11.946529584993966,105.64082057874951
2.1105172457905184,12.02091907396445,105.64082057874951
2.1285698597490814,12.10205540303537,105.64082057874951
2.14820254532374,12.19790355611631,105.64082057874951
2.169854447195902,12.297633946755518,105.64082057874951
