sigma,phase,M_PNS_Msun,R_star_fm,W_over_T,log10_tau_s
80.0,unpCFL,1.612749,2.685485321683494,70.55259794598695,-44.77390571361571
80.0,unpCFL,1.624466,2.6562687774071323,69.11855281917697,-45.39079606418714
80.0,unpCFL,1.635519,2.6247073670497496,67.56943993602835,-46.05460744969097
80.0,unpCFL,1.645909,2.5906043143441995,65.89320170013633,-46.77043115023481
80.0,unpCFL,1.655654,2.553917013979135,64.08724829041796,-47.53930272238085
80.0,unpCFL,1.664768,2.514491549975826,62.14573837145398,-48.36353489774362
80.0,unpCFL,1.67327,2.4722828711384337,60.070849197902284,-49.22333520698021
80.0,unpCFL,1.681184,2.4272602397875795,57.86825396838204,-49.60963344237183
80.0,unpCFL,1.688523,2.3794496407553916,55.54889891031608,-49.86644616978138
80.0,unpCFL,1.69531,2.328845186366085,53.12444415442532,-50.0
80.0,unpCFL,1.701556,2.27551870991963,50.61162022834879,-49.99999999999999
80.0,unpCFL,1.707274,2.2195695523124757,48.029912513982914,-50.0
80.0,unpCFL,1.71248,2.1611298369487093,45.398945722768495,-50.00000000000001
80.0,unpCFL,1.71718,2.1002723186352608,42.73726052174249,-50.0
80.0,unpCFL,1.721386,2.037272217465915,40.06821138696729,-50.0
80.0,unpCFL,1.725109,1.9723385036493253,37.41069521392637,-50.0
80.0,unpCFL,1.728358,1.9057136869308806,34.784347856328935,-50.0
80.0,unpCFL,1.731145,1.8376515857954552,32.20741350370595,-49.99999999999999
80.0,unpCFL,1.733479,1.7684160410609637,29.695055264158484,-50.0
80.0,unpCFL,1.735373,1.6983022853518306,27.262600844125803,-50.0
80.0,unpCFL,1.736837,1.627599141089315,24.923014305976867,-50.0
80.0,unpCFL,1.737882,1.5566305557139413,22.68822719942941,-49.99999999999999
80.0,unpCFL,1.738524,1.4856977882579319,20.567295228729158,-50.0
80.0,unpCFL,1.738771,1.4151167972681984,18.56767748182412,-50.0
100.0,unpaired,0.6066949,6.3991291017587475,707.1743997837044,100.00000000000001
100.0,unpaired,0.6217995,6.273642974143649,667.4841921366548,100.0
100.0,unpaired,0.6375097,6.149054900889993,629.8917567033769,100.0
100.0,unpaired,0.6537863,6.025742358680262,594.3950084668235,100.00000000000001
100.0,unpaired,0.6706168,5.904088737057014,560.9798460446368,100.0
100.0,unpaired,0.6879966,5.784566310885465,529.6642140003919,99.99999999999999
100.0,unpaired,0.7058676,5.668194710118073,500.67725281114843,100.0
100.0,unpaired,0.7242177,5.554924221387177,473.7010817408728,100.0
100.0,unpaired,0.7430126,5.444763993021853,448.57250934533363,100.0
100.0,unpaired,0.7622018,5.33792968645126,425.20238017570676,100.00000000000001
100.0,unpaired,0.7817645,5.234685090198296,403.52024048661264,98.70505287826852
100.0,unpaired,0.8016508,5.136083683253363,383.6516153142955,91.65014655430117
100.0,unpaired,0.8218293,5.04162650110524,365.32718700244374,83.82043085584563
100.0,unpaired,0.8422629,4.951173641068265,348.3958767697304,76.50055214113947
100.0,unpaired,0.8629149,4.865111097114506,332.8391586427342,69.70295713265665
100.0,unpaired,0.8837535,4.7832261250954105,318.5084872412256,63.38079505179735
100.0,unpaired,0.9047515,4.705502558843011,305.3148080870055,57.50979096365646
100.0,unpaired,0.9258713,4.632077445615647,293.2115512250306,52.2189528350444
100.0,unpaired,0.9470957,4.562734269558686,282.09247664198017,47.46792050323399
100.0,unpaired,0.9683892,4.4972108096484344,271.8464035139198,43.052206646261766
100.0,unpaired,0.9897522,4.435829218751981,262.4739323376636,38.98060627657159
100.0,unpaired,1.011149,4.37790165404799,253.8127757919875,35.189906464006384
100.0,unpaired,1.032558,4.323230296230216,245.797553695124,31.65709215092628
100.0,unpaired,1.05397,4.272381545747594,238.47577077817343,28.40743065820439
100.0,unpaired,1.075371,4.224491174195144,231.68983805052443,25.375553210548617
100.0,unpaired,1.09675,4.179554988067726,225.42175756742986,22.618740187951857
100.0,unpaired,1.118085,4.137302244957497,219.61708965946565,20.12594671409365
100.0,unpaired,1.139378,4.097619037864256,214.23101095313606,17.797389200609512
100.0,unpaired,1.160606,4.06044973354491,209.24337875905738,15.626664697304143
100.0,unpaired,1.181755,4.025556335450807,204.61058229349064,13.596812329004266
100.0,unpaired,1.202825,3.9926687925004694,200.28933512661493,11.690739060823091
100.0,unpaired,1.22379,3.9619289979313517,196.28944276250576,9.914086874096316
100.0,unpaired,1.244655,3.9328468118222433,192.54570491921277,8.239769395993488
100.0,unpaired,1.265384,3.905343091752185,189.04435940433385,6.662870052737611
100.0,unpaired,1.285967,3.879345184270424,185.776830266841,5.180947060545502
100.0,unpaired,1.306385,3.8545201551132653,182.70543096803834,3.797772590299789
100.0,unpaired,1.32662,3.8305776476688176,179.80182496149445,2.5423629427239036
100.0,unpaired,1.346641,3.807579550616859,177.06678365212272,1.3529192621919393
100.0,unpaired,1.366428,3.7853230054020854,174.48060216494775,0.2220173615126496
100.0,unpaired,1.385951,3.7636151329026952,172.02509119996716,-0.8571041246006124
100.0,unpaired,1.405176,3.7422803685778994,169.6839153077208,-1.8904569917485858
100.0,unpaired,1.424072,3.7211224966830585,167.43913428896246,-2.8846746708580393
100.0,unpaired,1.44261,3.6999480313688347,165.27316338303868,-3.8463158963978032
100.0,unpaired,1.460747,3.6785039839053892,163.1630973816857,-4.784295486936872
100.0,unpaired,1.478449,3.6566266348661705,161.09339774567158,-5.7043652142616175
100.0,unpaired,1.495677,3.6340410902601397,159.04177904368092,-6.615214769650188
100.0,unpaired,1.512403,3.6105501488423717,156.98601801654462,-7.5258397156057
100.0,unpaired,1.52858,3.585942501466676,154.90433604115682,-8.445218561686183
100.0,unpaired,1.544188,3.559915996795098,152.76988387099556,-9.384379332021787
100.0,unpaired,1.55919,3.5323117360246927,150.56155355102473,-10.352438515399122
100.0,unpaired,1.573565,3.5028362762373004,148.24964913579706,-11.36208699303168
100.0,unpaired,1.587292,3.471304344934251,145.8110106950215,-12.423511719581969
100.0,unpaired,1.600355,3.4374884851959324,143.2196255917429,-13.54804629295783
100.0,unpaired,1.612749,3.401215799921966,140.45249441680005,-14.745931810257739
100.0,unpaired,1.624466,3.3621941596002367,137.4789105078166,-16.030498447299646
100.0,unpaired,1.635519,3.32035118758461,134.2864126898028,-17.407326779860384
100.0,unpaired,1.645909,3.2754361147221216,130.85113269759552,-18.886725056898513
100.0,unpaired,1.655654,3.227398026731345,127.16838099738837,-20.470747642213727
100.0,unpaired,1.664768,3.17603832709878,123.22656003386354,-22.16427107953196
100.0,unpaired,1.67327,3.121294789842387,119.02992903912794,-23.96543100315038
100.0,unpaired,1.681184,3.0631201476031826,114.58946217746714,-25.869426459763023
100.0,unpaired,1.688523,3.001537195602651,109.92647545928183,-27.867118275938736
100.0,unpaired,1.69531,2.936526241677967,105.06352751866572,-29.94879012271699
100.0,unpaired,1.701556,2.8681667853095636,100.03325963991257,-32.10044400703994
100.0,unpaired,1.707274,2.796576819934396,94.87399651997734,-34.3055933530835
100.0,unpaired,1.71248,2.72191190646168,89.62396502530758,-36.54635254160471
100.0,unpaired,1.71718,2.644257274134617,84.31959333555612,-38.78236566640199
100.0,unpaired,1.721386,2.5639602096744314,79.00694915728658,-41.021204942770716
100.0,unpaired,1.725109,2.481282092238003,73.72310704923751,-43.24728797697049
100.0,unpaired,1.728358,2.3965310811316023,68.50679260853168,-45.44407527477939
100.0,unpaired,1.731145,2.310031054863891,63.393953930568884,-47.5960376374076
100.0,unpaired,1.733479,2.222118302825675,58.41430498552119,-49.31815156010016
100.0,unpaired,1.735373,2.133170530756167,53.59791486589191,-50.0
100.0,unpaired,1.736837,2.0435570461431225,48.97009383370267,-50.0
100.0,unpaired,1.737882,1.9536907914915869,44.554019446136785,-49.99999999999999
100.0,unpaired,1.738524,1.8639546463404044,40.367099234324485,-50.0
100.0,unpaired,1.738771,1.774748370919142,36.42351740484951,-50.0
100.0,cfl,0.6066949,3.9140180986732322,290.2502870485283,51.22485203124313
100.0,cfl,0.6217995,3.881578367268148,280.3896142735174,47.07795825041801
100.0,cfl,0.6375097,3.848427657215925,270.7983496638625,42.96730912238566
100.0,cfl,0.6537863,3.8146220738592707,261.4888708150085,38.90510921141518
100.0,cfl,0.6706168,3.7802252446066267,252.47261587020867,34.903832415548514
100.0,cfl,0.6879966,3.7453459749974787,243.76432179308242,31.013538899236742
100.0,cfl,0.7058676,3.710323946972268,235.4045619229067,27.476248712966697
100.0,cfl,0.7242177,3.6749988329907106,227.37883464193519,24.027820230887908
100.0,cfl,0.7430126,3.639416027200901,219.66885372048733,20.668157605719347
100.0,cfl,0.7622018,3.6036548567205986,212.2702370256422,17.402706173296323
100.0,cfl,0.7817645,3.5678055261431254,205.18176397361663,14.238035664164322
100.0,cfl,0.8016508,3.532258469797487,198.4332878927426,11.329729553811797
100.0,cfl,0.8218293,3.496881343608332,191.9926804897104,8.564283544303246
100.0,cfl,0.8422629,3.4616616724557567,185.84192594495855,5.8958360129798715
100.0,cfl,0.8629149,3.4267286543348767,179.9893803291796,3.3331781673148377
100.0,cfl,0.8837535,3.3921115995109403,174.40866329020741,0.8695539130631398
100.0,cfl,0.9047515,3.357864901272915,169.08676290385253,-1.4967174256536073
100.0,cfl,0.9258713,3.3241437939531484,164.02134143357245,-3.7183750493974346
100.0,cfl,0.9470957,3.290968088151444,159.19654890408881,-5.799213941114818
100.0,cfl,0.9683892,3.2582585294946727,154.59120437207508,-7.799289976769819
100.0,cfl,0.9897522,3.2261626413637026,150.21536431139035,-9.711742711803268
100.0,cfl,1.011149,3.1945523040902795,146.02641238045703,-11.552851360137968
100.0,cfl,1.032558,3.1634092145478094,142.01019102729353,-13.327049237766657
100.0,cfl,1.05397,3.132973424098575,138.191506985436,-15.021996190391901
100.0,cfl,1.075371,3.1030208772533787,134.52369998985702,-16.656856756238454
100.0,cfl,1.09675,3.073657119811833,131.01250591414563,-18.20702727459449
100.0,cfl,1.118085,3.0448511207372797,127.64744190543401,-19.67274280426545
100.0,cfl,1.139378,3.0165483888870397,124.41250714796762,-21.088072897092772
100.0,cfl,1.160606,2.9887609697360507,121.30543144906936,-22.453119962726326
100.0,cfl,1.181755,2.9614445876773448,118.31515667002725,-23.771931603351305
100.0,cfl,1.202825,2.9345277496737294,115.42930141969906,-25.049192007411044
100.0,cfl,1.22379,2.908109223399784,112.65745709453915,-26.280071788186746
100.0,cfl,1.244655,2.8820198240080943,109.97725831339017,-27.47374942433047
100.0,cfl,1.265384,2.8562591775494424,107.38725232114193,-28.630324719817384
100.0,cfl,1.285967,2.830823577068828,104.88847305651952,-29.748680110715753
100.0,cfl,1.306385,2.805625781687024,102.47089276369883,-30.826963326485114
100.0,cfl,1.32662,2.7806226810487065,100.13011179815796,-31.855049335502866
100.0,cfl,1.346641,2.755771055301218,97.8623029645525,-32.85330731471902
100.0,cfl,1.366428,2.730999368070249,95.66216405493337,-33.823503973764815
100.0,cfl,1.385951,2.7062402890637953,93.52486378474835,-34.767213298858955
100.0,cfl,1.405176,2.681434921881587,91.44621728079052,-35.685775151956655
100.0,cfl,1.424072,2.6565137820613165,89.42128377251898,-36.580845123961176
