n_B_over_n0,T_MeV,R_star_fm
9.333442830069488,30.0,0.575466296
9.373246999368288,30.0,0.567330797
9.413044851547696,30.0,0.559295753
9.452842703727102,30.0,0.55137436
9.492640555906506,30.0,0.543553601
9.532438408085913,30.0,0.535838746
9.572242577384712,30.0,0.528223902
9.61204042956412,30.0,0.520714737
9.651838281743526,30.0,0.513310906
9.691636133922932,30.0,0.506006193
9.731440303221731,30.0,0.498800202
9.771238155401138,30.0,0.491698436
9.811036007580544,30.0,0.484695099
9.85083385975995,30.0,0.477790171
9.89063802905875,30.0,0.47098866
9.930435881238155,30.0,0.464280257
9.970233733417562,30.0,0.457670259
10.010031585596968,30.0,0.451159075
10.049835754895767,30.0,0.444742375
10.089633607075173,30.0,0.438421446
10.12943145925458,30.0,0.432193584
10.169229311433986,30.0,0.426066213
10.209027163613394,30.0,0.420030296
10.248831332912193,30.0,0.414094622
10.288629185091597,30.0,0.408262672
10.328427037271004,30.0,0.402540531
10.36822488945041,30.0,0.395057902
10.40802905874921,30.0,0.389414972
10.447826910928617,30.0,0.383858945
10.487624763108023,30.0,0.37838584
10.52742261528743,30.0,0.372999596
10.567226784586229,30.0,0.367703273
10.607024636765635,30.0,0.3615468
10.646822488945041,30.0,0.356362466
10.686620341124447,30.0,0.351256708
10.726424510423248,30.0,0.346225213
10.766222362602655,30.0,0.341270494
10.806020214782059,30.0,0.336391348
10.845818066961465,30.0,0.331586894
10.885615919140871,30.0,0.326850116
10.925420088439672,30.0,0.322189201
10.965217940619079,30.0,0.317597126
11.005015792798485,30.0,0.313075875
11.044813644977891,30.0,0.308621732
11.08461781427669,30.0,0.304234074
11.124415666456096,30.0,0.299917024
11.164213518635503,30.0,0.295661399
11.204011370814909,30.0,0.291472409
11.243815540113708,30.0,0.287348893
11.283613392293114,30.0,0.28328666
11.32341124447252,30.0,0.279285613
11.363209096651927,30.0,0.275344865
11.403006948831333,30.0,0.271466542
11.442811118130132,30.0,0.267648115
11.482608970309538,30.0,0.263885749
11.522406822488946,30.0,0.260181535
11.562204674668353,30.0,0.2565345
11.602008843967152,30.0,0.252944408
11.641806696146556,30.0,0.249406421
11.681604548325963,30.0,0.245924314
11.72140240050537,30.0,0.24249522
11.76120656980417,30.0,0.239118334
11.801004421983576,30.0,0.235794656
11.840802274162982,30.0,0.232519712
11.880600126342388,30.0,0.229296859
11.920404295641188,30.0,0.226121211
11.960202147820594,30.0,0.222995492
12.0,30.0,0.21991604
