alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.0,168.0,20.0,,,1
0.0,169.0,20.0,,,1
0.0,170.0,20.0,,,1
0.0,171.0,20.0,,,1
0.0,172.0,20.0,,,1
0.0,173.0,20.0,,,1
0.0,174.0,20.0,,,1
0.0,175.0,20.0,,,1
0.0,176.0,20.0,,,1
0.0,177.0,20.0,,,1
0.0,178.0,20.0,,,1
0.0,179.0,20.0,,,1
0.0,180.0,20.0,,,1
0.0,130.0,24.0,,2.398698401615756,6
0.0,131.0,24.0,,2.363319831755676,6
0.0,132.0,24.0,,2.32880141801147,6
0.0,133.0,24.0,,2.295047382918762,6
0.0,134.0,24.0,,2.261984568498145,6
0.0,135.0,24.0,,2.2295915496308902,6
0.0,136.0,24.0,,2.1979612844938945,6
0.0,137.0,24.0,,2.166955027248234,6
0.0,138.0,24.0,,2.1365664567763063,6
0.0,139.0,24.0,,2.106856862484024,6
0.0,140.0,24.0,,2.077772851893848,6
0.0,141.0,24.0,,2.049260958402069,6
0.0,142.0,24.0,,2.021339435364507,6
0.0,143.0,24.0,,1.9939733592418907,4
0.0,144.0,24.0,,1.9671433618495644,4
0.0,145.0,24.0,,1.940883640939429,4
0.0,146.0,24.0,,1.9151167549821977,4
0.0,147.0,24.0,,1.889891564951347,4
0.0,148.0,24.0,,1.8651098951554017,4
0.0,149.0,24.0,,1.8408135401140588,4
0.0,150.0,24.0,,1.817010893947138,4
0.0,151.0,24.0,,1.7936519234177608,4
0.0,152.0,24.0,,1.7707602073149333,4
0.0,153.0,24.0,,1.7482504264994438,4
0.0,154.0,24.0,,1.7261831512758858,4
0.0,155.0,24.0,,1.7045469053665525,4
0.0,156.0,24.0,,1.6833359970173583,4
0.0,157.0,24.0,,1.6625162141854166,4
0.0,158.0,24.0,,1.6420431401481308,4
0.0,159.0,24.0,,1.6219622038585886,4
0.0,160.0,24.0,,,1
0.0,161.0,24.0,,,1
0.0,162.0,24.0,,,1
0.0,163.0,24.0,,,1
0.0,164.0,24.0,,,1
0.0,165.0,24.0,,,1
0.0,166.0,24.0,,,1
0.0,167.0,24.0,,,1
0.0,168.0,24.0,,,1
0.0,169.0,24.0,,,1
0.0,170.0,24.0,,,1
0.0,171.0,24.0,,,1
0.0,172.0,24.0,,,1
0.0,173.0,24.0,,,1
0.0,174.0,24.0,,,1
0.0,175.0,24.0,,,1
0.0,176.0,24.0,,,1
0.0,177.0,24.0,,,1
0.0,178.0,24.0,,,1
0.0,179.0,24.0,,,1
0.0,180.0,24.0,,,1
0.0,130.0,28.0,,2.4119450491599097,6
0.0,131.0,28.0,,2.3761721879321978,6
0.0,132.0,28.0,,2.34131215656865,6
0.0,133.0,28.0,,2.3071573406879695,6
0.0,134.0,28.0,,2.273763466658398,6
0.0,135.0,28.0,,2.2410337208831046,6
0.0,136.0,28.0,,2.2090533039915083,6
0.0,137.0,28.0,,2.1777139234437364,6
0.0,138.0,28.0,,2.147079808046603,6
0.0,139.0,28.0,,2.1170477559786764,6
0.0,140.0,28.0,,2.0876609137189597,6
0.0,141.0,28.0,,2.0588753394880546,6
0.0,142.0,28.0,,2.0306980386561344,6
0.0,143.0,28.0,,2.0030541430519113,6
0.0,144.0,28.0,,1.975992558421463,4
0.0,145.0,28.0,,1.9494607241890018,4
0.0,146.0,28.0,,1.9234449878455544,4
0.0,147.0,28.0,,1.8979880896805237,4
0.0,148.0,28.0,,1.8730077478362879,4
0.0,149.0,28.0,,1.8484977867772043,4
0.0,150.0,28.0,,1.8244759073042518,4
0.0,151.0,28.0,,1.800913618608522,4
0.0,152.0,28.0,,1.7778083395521134,4
0.0,153.0,28.0,,1.7551696816539308,4
0.0,154.0,28.0,,1.7329342951533366,4
0.0,155.0,28.0,,1.7111390756265137,4
0.0,156.0,28.0,,1.6897340144419193,4
0.0,157.0,28.0,,1.6687524595973255,4
0.0,158.0,28.0,,1.6481085355602476,4
0.0,159.0,28.0,,1.6278708439785108,4
0.0,160.0,28.0,,1.6079681674803625,4
0.0,161.0,28.0,,,1
0.0,162.0,28.0,,,1
0.0,163.0,28.0,,,1
0.0,164.0,28.0,,,1
0.0,165.0,28.0,,,1
0.0,166.0,28.0,,,1
0.0,167.0,28.0,,,1
0.0,168.0,28.0,,,1
0.0,169.0,28.0,,,1
0.0,170.0,28.0,,,1
0.0,171.0,28.0,,,1
0.0,172.0,28.0,,,1
0.0,173.0,28.0,,,1
0.0,174.0,28.0,,,1
0.0,175.0,28.0,,,1
0.0,176.0,28.0,,,1
0.0,177.0,28.0,,,1
0.0,178.0,28.0,,,1
0.0,179.0,28.0,,,1
0.0,180.0,28.0,,,1
0.0,130.0,32.0,,2.4272944129852903,6
0.0,131.0,32.0,,2.391045277288115,6
0.0,132.0,32.0,,2.3557557093387236,6
0.0,133.0,32.0,,2.32115548918509,6
0.0,134.0,32.0,,2.287306737005211,6
0.0,135.0,32.0,,2.2542417389486054,6
0.0,136.0,32.0,,2.2218562413562934,6
0.0,137.0,32.0,,2.1901744064223503,6
0.0,138.0,32.0,,2.1591723783340404,6
0.0,139.0,32.0,,2.128776738975161,6
0.0,140.0,32.0,,2.099105812490971,6
0.0,141.0,32.0,,2.0699643574534257,6
0.0,142.0,32.0,,2.041467061702013,6
0.0,143.0,32.0,,2.0135151015285095,6
0.0,144.0,32.0,,1.986166807959387,4
0.0,145.0,32.0,,1.959362538620915,4
0.0,146.0,32.0,,1.9330673841131059,4
0.0,147.0,32.0,,1.9073399598191443,4
0.0,148.0,32.0,,1.8820982437661207,4
0.0,149.0,32.0,,1.8573911967335488,4
0.0,150.0,32.0,,1.8331353741276462,4
0.0,151.0,32.0,,1.8093633815856136,4
0.0,152.0,32.0,,1.786068146213789,4
0.0,153.0,32.0,,1.7632083707011619,4
0.0,154.0,32.0,,1.740736145904883,4
0.0,155.0,32.0,,1.7187337680843582,4
0.0,156.0,32.0,,1.6971289660811446,4
0.0,157.0,32.0,,1.675938048428915,4
0.0,158.0,32.0,,1.6551246990501,4
0.0,159.0,32.0,,1.6347162741677,4
0.0,160.0,32.0,,1.6146805363990513,4
0.0,161.0,32.0,,,1
0.0,162.0,32.0,,,1
0.0,163.0,32.0,,,1
0.0,164.0,32.0,,,1
0.0,165.0,32.0,,,1
0.0,166.0,32.0,,,1
0.0,167.0,32.0,,,1
0.0,168.0,32.0,,,1
0.0,169.0,32.0,,,1
0.0,170.0,32.0,,,1
0.0,171.0,32.0,,,1
0.0,172.0,32.0,,,1
0.0,173.0,32.0,,,1
0.0,174.0,32.0,,,1
0.0,175.0,32.0,,,1
0.0,176.0,32.0,,,1
0.0,177.0,32.0,,,1
0.0,178.0,32.0,,,1
0.0,179.0,32.0,,,1
0.0,180.0,32.0,,,1
0.0,130.0,36.0,,2.444803740974574,6
0.0,131.0,36.0,,2.4081215654726957,6
0.0,132.0,36.0,,2.372219932789379,6
0.0,133.0,36.0,,2.337105969577226,6
0.0,134.0,36.0,,2.3027850820959856,6
0.0,135.0,36.0,,2.269244990456437,6
0.0,136.0,36.0,,2.2364952094778463,6
0.0,137.0,36.0,,2.2043193526639837,6
0.0,138.0,36.0,,2.1728893603504473,6
0.0,139.0,36.0,,2.1421338874963367,6
