T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
40.0,cfl,9.691636133922932,0.807925942,6.829734500000001,-70.733245676526
40.0,cfl,9.731440303221731,0.797971365,6.6626362,-70.79056718212563
40.0,cfl,9.771238155401138,0.788132086,6.4995006250000005,-70.8462195880032
40.0,cfl,9.811036007580544,0.778401125,6.340143599999999,-70.90027434028345
40.0,cfl,9.85083385975995,0.768779091,6.18450945,-70.95275964773981
40.0,cfl,9.89063802905875,0.759273367,6.03265015,-71.00366705928616
40.0,cfl,9.930435881238155,0.74987148,5.884301325,-71.0530933617464
40.0,cfl,9.970233733417562,0.740580483,5.73951145,-71.10103374989828
40.0,cfl,10.010031585596968,0.731401505,5.598233675,-71.14751307295589
40.0,cfl,10.049835754895767,0.722336258,5.46042975,-71.1925551508393
40.0,cfl,10.089633607075173,0.713379415,5.3259561,-71.23622051993567
40.0,cfl,10.12943145925458,0.704533032,5.194782425,-71.27853158209771
40.0,cfl,10.169229311433986,0.695800157,5.06689225,-71.31950966417564
40.0,cfl,10.209027163613394,0.687178265,4.9421874500000005,-71.35920355838931
40.0,cfl,10.248831332912193,0.678667134,4.8206052999999995,-71.39765627364771
40.0,cfl,10.288629185091597,0.670274731,4.702198675,-71.43487686544651
40.0,cfl,10.328427037271004,0.661997019,4.58684955,-71.47094377483984
40.0,cfl,10.36822488945041,0.65384663,4.4746716499999994,-71.5058833067887
40.0,cfl,10.40802905874921,0.645838477,4.365801875,-71.53977898155902
40.0,cfl,10.447826910928617,0.633391914,4.199216125,-71.58103994621831
40.0,cfl,10.487624763108023,0.62542144,4.094255925000001,-71.61228903020353
40.0,cfl,10.52742261528743,0.617550721,3.9919105000000004,-71.64261034033936
40.0,cfl,10.567226784586229,0.609791568,3.892281525,-71.67215020408527
40.0,cfl,10.607024636765635,0.60214054,3.7952715249999995,-71.70210807399107
40.0,cfl,10.646822488945041,0.591961157,3.6681017500000004,-71.72383055601429
40.0,cfl,10.686620341124447,0.584413114,3.5751993499999997,-71.7491936572533
40.0,cfl,10.726424510423248,0.576960125,3.4846342249999998,-71.77357169434057
40.0,cfl,10.766222362602655,0.569601424,3.39635295,-71.79698744584452
40.0,cfl,10.806020214782059,0.562331788,3.3102507,-71.81947915675227
40.0,cfl,10.845818066961465,0.555155028,3.2263312749999997,-71.84105334360045
40.0,cfl,10.885615919140871,0.548070286,3.1445431249999998,-71.86173242267445
40.0,cfl,10.925420088439672,0.541076735,3.06483615,-71.88153877448362
40.0,cfl,10.965217940619079,0.534169319,2.9871138999999998,-71.90050515790963
40.0,cfl,11.005015792798485,0.527351468,2.911377025,-71.91864056741056
40.0,cfl,11.044813644977891,0.520623062,2.837586025,-71.93596218421516
40.0,cfl,11.08461781427669,0.513981012,2.7656699750000002,-71.95250015624588
40.0,cfl,11.124415666456096,0.507423019,2.6955685750000002,-71.96827328422957
40.0,cfl,11.164213518635503,0.50094697,2.6272252000000003,-71.98330603989953
40.0,cfl,11.204011370814909,0.494560717,2.56068785,-71.99759443795107
40.0,cfl,11.243815540113708,0.488250902,2.495784175,-72.01118903906905
40.0,cfl,11.283613392293114,0.482028792,2.4325976000000002,-72.02407714473229
40.0,cfl,11.32341124447252,0.475886158,2.371011995,-72.03629437444056
40.0,cfl,11.363209096651927,0.469822228,2.310989205,-72.04785711324622
40.0,cfl,11.403006948831333,0.463838366,2.25251257,-72.05877904848815
40.0,cfl,11.442811118130132,0.457932482,2.1955320449999998,-72.06907722891384
40.0,cfl,11.482608970309538,0.452105831,2.1400306650000003,-72.07876446311765
40.0,cfl,11.522406822488946,0.44635428,2.08594089,-72.0878630995812
40.0,cfl,11.562204674668353,0.440680081,2.0332564225,-72.09638285799566
40.0,cfl,11.602008843967152,0.435080151,1.98192168,-72.10434288226747
40.0,cfl,11.641806696146556,0.429553639,1.931902955,-72.1117559032621
40.0,cfl,11.681604548325963,0.424101674,1.883184825,-72.11863598783125
40.0,cfl,11.72140240050537,0.418720419,1.8357081999999998,-72.12500084805579
40.0,cfl,11.76120656980417,0.413410795,1.7894571825,-72.13086096625362
40.0,cfl,11.801004421983576,0.408173819,1.74441664,-72.13622716140239
40.0,cfl,11.840802274162982,0.403002249,1.7005016125,-72.14112169043996
