flavor_mode,phase,nBH_over_n0,T_nuc_MeV
saddlepoint,unpaired,6.865887555274795,15.513301000436709
saddlepoint,unpaired,6.905685407454201,15.180068098383519
saddlepoint,unpaired,6.9454832596336065,14.850444668423899
saddlepoint,unpaired,6.985287428932407,14.52302859328682
saddlepoint,unpaired,7.025085281111814,14.195765184707309
saddlepoint,unpaired,7.064883133291219,13.869159185662111
saddlepoint,unpaired,7.104680985470625,13.545533446804631
saddlepoint,unpaired,7.1444788376500314,13.227588092529759
saddlepoint,unpaired,7.1842830069488315,12.916929138522628
saddlepoint,unpaired,7.224080859128238,12.612756718300544
saddlepoint,unpaired,7.263878711307644,12.315424846481424
saddlepoint,unpaired,7.30367656348705,12.023273000933438
saddlepoint,unpaired,7.34348073278585,11.734640211406912
saddlepoint,unpaired,7.3832785849652565,11.448182851315448
saddlepoint,unpaired,7.423076437144663,11.16341669330254
saddlepoint,unpaired,7.462874289324068,10.881659186108951
saddlepoint,unpaired,7.502678458622867,10.605195169307349
saddlepoint,unpaired,7.542476310802275,10.336839189707243
saddlepoint,unpaired,7.5822741629816806,10.080325362825166
saddlepoint,unpaired,7.622072015161087,9.837925458458258
saddlepoint,unpaired,7.661869867340493,9.607812636495915
saddlepoint,unpaired,7.701674036639292,9.3765358985611
saddlepoint,unpaired,7.741471888818699,9.14434024738086
saddlepoint,unpaired,7.7812697409981055,8.910179318888405
saddlepoint,unpaired,7.821067593177512,8.673341718204119
saddlepoint,unpaired,7.860871762476311,8.434000545674825
saddlepoint,unpaired,7.900669614655716,8.193614021245942
saddlepoint,unpaired,7.940467466835124,7.954205660290686
saddlepoint,unpaired,7.98026531901453,7.720118384121368
saddlepoint,unpaired,8.020069488313329,7.498871045785737
saddlepoint,unpaired,8.059867340492735,7.292860327000414
saddlepoint,unpaired,8.099665192672141,7.100574244233887
saddlepoint,unpaired,8.13946304485155,6.919347986902768
saddlepoint,unpaired,8.179267214150348,6.746062478514153
saddlepoint,unpaired,8.219065066329753,6.577306106690138
saddlepoint,unpaired,8.258862918509159,6.409908037592613
saddlepoint,unpaired,8.298660770688565,6.239995579344324
saddlepoint,unpaired,8.338458622867973,6.063364630316459
saddlepoint,unpaired,8.378262792166772,5.874020558476673
saddlepoint,unpaired,8.418060644346179,5.668512675150689
saddlepoint,unpaired,8.457858496525585,5.450749740191487
saddlepoint,unpaired,8.49765634870499,5.232565587790404
saddlepoint,unpaired,8.53746051800379,5.027554279506067
saddlepoint,unpaired,8.577258370183197,4.844301677149244
saddlepoint,unpaired,8.617056222362603,4.6851323791817
saddlepoint,unpaired,8.656854074542009,4.548561515955153
saddlepoint,unpaired,8.696658243840808,4.449646776879753
saddlepoint,unpaired,8.736456096020214,4.3659281599192274
saddlepoint,unpaired,8.77625394819962,4.285238535094329
saddlepoint,unpaired,8.816051800379027,4.206621212410062
saddlepoint,unpaired,8.855855969677828,4.12930751089318
saddlepoint,unpaired,8.895653821857234,4.052599269118673
saddlepoint,unpaired,8.93545167403664,3.9758304055446594
saddlepoint,unpaired,8.975249526216045,3.898303196425526
saddlepoint,unpaired,9.015047378395451,3.819080783023552
saddlepoint,unpaired,9.054851547694252,3.7373258641620124
saddlepoint,unpaired,9.094649399873658,3.652317731786332
saddlepoint,unpaired,9.134447252053064,3.5633256123176578
saddlepoint,unpaired,9.17424510423247,3.4700237800793707
saddlepoint,unpaired,9.21404927353127,3.372297153655548
saddlepoint,unpaired,9.253847125710676,3.2702652558817498
saddlepoint,unpaired,9.293644977890082,3.1645303774859643
saddlepoint,unpaired,9.333442830069488,3.0562758960128216
saddlepoint,unpaired,9.373246999368288,2.9470566546353125
saddlepoint,unpaired,9.413044851547696,2.838969682587741
saddlepoint,unpaired,9.452842703727102,2.734321338102104
saddlepoint,unpaired,9.492640555906506,2.6341203291803867
saddlepoint,unpaired,9.532438408085913,2.539843606506452
saddlepoint,unpaired,9.572242577384712,2.452220921270553
saddlepoint,unpaired,9.61204042956412,2.3716715587897554
saddlepoint,unpaired,9.651838281743526,2.2982095785506633
saddlepoint,unpaired,9.691636133922932,2.2314120262405526
saddlepoint,unpaired,9.731440303221731,2.1708624009156283
saddlepoint,unpaired,9.771238155401138,2.11601707008224
saddlepoint,unpaired,9.811036007580544,2.066249662815169
saddlepoint,unpaired,9.85083385975995,2.0211782228796857
saddlepoint,unpaired,9.89063802905875,1.9803131933908773
saddlepoint,unpaired,9.930435881238155,1.943101320711829
saddlepoint,unpaired,9.970233733417562,1.9090401942323643
saddlepoint,unpaired,10.010031585596968,1.8777220390366274
saddlepoint,unpaired,10.049835754895767,1.8488130958266993
saddlepoint,unpaired,10.089633607075173,1.8220215738867875
saddlepoint,unpaired,10.12943145925458,1.7971394550704298
saddlepoint,unpaired,10.169229311433986,1.7739606551268774
saddlepoint,cfl,0.8561869867340492,56.78698498122342
saddlepoint,cfl,0.8959867340492736,54.657754860307776
saddlepoint,cfl,0.9357858496525585,52.573848116648996
saddlepoint,cfl,0.9755855969677827,50.72657718718941
saddlepoint,cfl,1.0153847125710675,49.06631192790025
saddlepoint,cfl,1.0551838281743526,47.57390311406603
saddlepoint,cfl,1.0949835754895767,46.222050762247406
saddlepoint,cfl,1.1347826910928616,44.988931979926015
saddlepoint,cfl,1.1745818066961466,43.8555999361954
saddlepoint,cfl,1.214381554011371,42.80653937841891
saddlepoint,cfl,1.2541806696146558,41.8289249856288
saddlepoint,cfl,1.2939797852179407,40.91233546795232
saddlepoint,cfl,1.333779532533165,40.04841002066858
saddlepoint,cfl,1.3735786481364498,39.23015316929812
saddlepoint,cfl,1.413377763739735,38.45191464144201
saddlepoint,cfl,1.453177511054959,37.709094027880745
saddlepoint,cfl,1.4929766266582438,36.99782577656336
saddlepoint,cfl,1.532775742261529,36.31499279811179
saddlepoint,cfl,1.5725754895767532,35.65788613457044
saddlepoint,cfl,1.6123746051800378,35.02442715809652
saddlepoint,cfl,1.652173720783323,34.41280402134919
saddlepoint,cfl,1.6919734680985472,33.821493643701956
saddlepoint,cfl,1.7317725837018318,33.24921142848695
saddlepoint,cfl,1.771571699305117,32.69491718504271
saddlepoint,cfl,1.8113714466203412,32.15780101360424
saddlepoint,cfl,1.8511705622236259,31.636948674929293
