prescription,R_fm,W_MeV
LCN,4.26941883767535,7524.732153912422
LCN,4.293426853707414,7522.129362969343
LCN,4.317434869739479,7518.04057148537
LCN,4.341442885771543,7512.449369666312
LCN,4.365450901803607,7505.339347717982
LCN,4.389458917835671,7496.694095846182
LCN,4.413466933867735,7486.497204256724
LCN,4.4374749498998,7474.73226315542
LCN,4.4614829659318636,7461.382862748087
LCN,4.4854909819639275,7446.432593240519
LCN,4.509498997995991,7429.8650448385415
LCN,4.533507014028056,7411.663807747947
LCN,4.55751503006012,7391.812472174563
LCN,4.581523046092184,7370.294628324191
LCN,4.605531062124248,7347.093866402636
LCN,4.629539078156313,7322.1937766157025
LCN,4.653547094188377,7295.5779491692265
LCN,4.677555110220441,7267.229974268994
LCN,4.701563126252505,7237.133442120819
LCN,4.7255711422845685,7205.271942930514
LCN,4.749579158316633,7171.62906690389
LCN,4.773587174348697,7136.188404246754
LCN,4.797595190380761,7098.933545164924
LCN,4.821603206412825,7059.84807986419
LCN,4.84561122244489,7018.915598550382
LCN,4.869619238476954,6976.119691429296
LCN,4.893627254509018,6931.443948706747
LCN,4.917635270541082,6884.871960588553
LCN,4.941643286573146,6836.387317280507
LCN,4.9656513026052105,6785.973608988428
LCN,4.989659318637274,6733.614425918131
LCN,5.013667334669338,6679.293358275412
LCN,5.037675350701402,6622.99399626609
LCN,5.061683366733467,6564.699930095969
LCN,5.085691382765531,6504.3947499708665
LCN,5.109699398797595,6442.062046096584
LCN,5.133707414829659,6377.685408678943
LCN,5.157715430861723,6311.248427923736
LCN,5.181723446893788,6242.73469403679
LCN,5.2057314629258515,6172.127797223908
LCN,5.2297394789579155,6099.41132769089
LCN,5.253747494989979,6024.568875643559
LCN,5.277755511022044,5947.584031287719
LCN,5.301763527054108,5868.4403848291695
LCN,5.325771543086172,5787.121526473744
LCN,5.349779559118236,5703.6110464272315
LCN,5.373787575150301,5617.892534895454
LCN,5.397795591182365,5529.949582084206
LCN,5.421803607214429,5439.765778199315
LCN,5.445811623246493,5347.324713446589
LCN,5.4698196392785565,5252.609978031829
LCN,5.493827655310621,5155.605162160842
LCN,5.517835671342685,5056.293856039447
LCN,5.541843687374749,4954.659649873443
LCN,5.565851703406813,4850.68613386865
LCN,5.589859719438878,4744.356898230864
LCN,5.613867735470942,4635.655533165918
LCN,5.637875751503006,4524.565628879609
LCN,5.66188376753507,4411.07077557774
LCN,5.685891783567134,4295.154563466123
LCN,5.7098997995991985,4176.800582750577
LCN,5.733907815631262,4055.992423636897
LCN,5.757915831663326,3932.71367633091
LCN,5.78192384769539,3806.9479310384195
LCN,5.805931863727455,3678.6787779652223
LCN,5.829939879759519,3547.889807317144
LCN,5.853947895791583,3414.5646092999814
LCN,5.877955911823647,3278.6867741195674
LCN,5.901963927855712,3140.239891981677
LCN,5.925971943887776,2999.207553092143
LCN,5.9499799599198395,2855.573347656784
LCN,5.9739879759519035,2709.320865881389
LCN,5.997995991983967,2560.4336979717773
LCN,6.022004008016032,2408.8954341337376
LCN,6.046012024048096,2254.689664573125
LCN,6.07002004008016,2097.7999794956995
LCN,6.094028056112224,1938.209969107309
LCN,6.118036072144289,1775.9032236137355
LCN,6.142044088176353,1610.8633332208046
LCN,6.166052104208417,1443.0738881343204
LCN,6.190060120240481,1272.518478560094
LCN,6.2140681362725445,1099.1806947039368
LCN,6.238076152304609,923.0441267716596
LCN,6.262084168336673,744.0923649690667
LCN,6.286092184368737,562.3089995019764
LCN,6.310100200400801,377.6776205761853
LCN,6.334108216432866,190.18181839751196
LCN,6.35811623246493,-0.19481682823243318
LCN,6.382124248496994,-193.46869489524397
LCN,6.406132264529058,-389.656225597726
LCN,6.430140280561122,-588.7738187298237
LCN,6.4541482965931865,-790.8378840857986
LCN,6.47815631262525,-995.864831459774
LCN,6.502164328657314,-1203.8710706459606
LCN,6.526172344689378,-1414.8730114385617
LCN,6.550180360721443,-1628.8870636317515
LCN,6.574188376753507,-1845.929637019748
LCN,6.598196392785571,-2066.0171413967037
LCN,6.622204408817635,-2289.1659865568436
LCN,6.6462124248497,-2515.3925822943493
LCN,6.670220440881764,-2744.7133384033878
LCN,6.6942284569138275,-2977.144664678148
LCN,6.718236472945891,-3212.702970912869
LCN,6.742244488977955,-3451.404666901697
LCN,6.76625250501002,-3693.2661624388493
LCN,6.790260521042084,-3938.3038673185
LCN,6.814268537074148,-4186.534191334824
LCN,6.838276553106212,-4437.973544282038
LCN,6.862284569138277,-4692.638335954332
LCN,6.886292585170341,-4950.544976145888
LCN,6.910300601202405,-5211.7098746508855
LCN,6.934308617234469,-5476.149441263529
LCN,6.9583166332665325,-5743.880085778008
LCN,6.982324649298597,-6014.918217988525
LCN,7.006332665330661,-6289.280247689239
LCN,7.030340681362725,-6566.982584674355
LCN,7.054348697394789,-6848.041638738054
LCN,7.078356713426854,-7132.473819674589
LCN,7.102364729458918,-7420.295537278063
LCN,7.126372745490982,-7711.5232013427085
LCN,7.150380761523046,-8006.173221662713
LCN,7.1743887775551105,-8304.262008032252
LCN,7.198396793587174,-8605.80597024555
LCN,7.222404809619238,-8910.821518096753
LCN,7.246412825651302,-9219.325061380092
LCN,7.270420841683366,-9531.333009889728
LCN,7.294428857715431,-9846.861773419878
LCN,7.318436873747495,-10165.927761764688
LCN,7.342444889779559,-10488.54738471839
LCN,7.366452905811623,-10814.737052075172
LCN,7.390460921843688,-11144.51317362921
LCN,7.414468937875752,-11477.892159174706
LCN,7.4384769539078155,-11814.89041850582
LCN,7.462484969939879,-12155.52436141677
LCN,7.486492985971943,-12499.81039770176
LCN,7.510501002004008,-12847.764937154949
LCN,7.534509018036072,-13199.404389570554
LCN,7.558517034068136,-13554.745164742722
LCN,7.5825250501002,-13913.803672465685
LCN,7.606533066132265,-14276.59632253363
LCN,7.630541082164329,-14643.139524740734
LCN,7.654549098196393,-15013.4496888812
LCN,7.6785571142284565,-15387.543224749184
